Product Name,URL,Pricing,Tool Type,Default Devices/Sizes,Uses Device Headers,Allows Custom Sizes,Side-by-Side visual preview,Allows Proxy Server,Allows Screen Rotation,Allows Auto Scroll,Width Measured By,Comment
Matt Kersley - Responsive Design Testing,http://mattkersley.com/responsive/,Free (Ad Supported),iframe,5,0,0,1,0,0,0,innerWidth(),"Quick & Dirty iframe approach, allows side by side breakpoint comparison"
Screen Fly,http://quirktools.com/screenfly/,Free,iframe,24,0,1,0,1,1,1,PX,"fast, lightweight"
Resize My Browser,http://resizemybrowser.com/,Free (Ad Supported),window resizer,12,0,1,0,0,0,0,innerWidth() or outerWidth(),"JS to set screen size, useful if you develop in multiple tabs"
Responsinator,http://www.responsinator.com/,Freemium ($6/mo),iframe,12,0,0,1,0,0,0,PX,Long Scrolling list of devices in wireframe-looking device comps. Portrait & Landscape designs.
Screen Queries,http://beta.screenqueri.es/,Free (signup required),iframe,60,0,1,0,0,1,0,PX,"quickly & easily toggle between multiple breakpoints, refresh button for easy CURL calls to dev URL"
ResponsivePX,http://responsivepx.com/,Free,iframe,None,0,0,0,0,0,0,innerWidth,only realy feature is ability to share URL to a specific size and preloaded preview URL
ResponsiveIS,http://responsive.is,Free,iframe,5,0,0,0,0,,0,,
Benjamin Keen - Responsive Design Bookmarklet,http://www.benjaminkeen.com/open-source-projects/smaller-projects/responsive-design-bookmarklet/,Free,iframe,6,0,1,1,0,0,0,innerWidth,js bookmarklets to set browser window size
Resizer,http://codebomber.com/jquery/resizer/,Free,window resizer,5,0,0,0,0,0,0,innerWidth,another bookmarklet with fixed sizes and a decent design
Responsive Design Bookmarklet,http://responsive.victorcoulon.fr/,Free,window resizer,5,0,1,0,0,1,0,innerWidth,seems a little slow/dodgy
Fire Sizer,https://addons.mozilla.org/en-US/firefox/addon/firesizer/,Free,firefox plugin,3,0,1,0,0,0,0,innerWidth,native FF plugin to resize browser
Mobilizer,http://www.springbox.com/mobilizer/,Free,air app,5,0,0,1,0,0,0,PX,"Air App iPhone, Android, HTC and Blackberry with realistic device previews"
Proto Fluid,http://protofluid.com/,Free (Ad Supported),iframe,21,0,,0,0,1,0,,"clever browser tool, creates iframe w/ URL of dev site"
Ripple,https://chrome.google.com/webstore/detail/ripple-emulator-beta/geelfhphabnejjhdalkjhgipohgpdnoc?hl=en,Free,chrome plugin,60+,0,0,0,1,1,0,,Loads of other features including geo location spoofing and device sketchs for realistic screen caps.
Browser Stack,http://www.browserstack.com/,Freemium ($39-$399/mo),Cloud based VM,100+ OS & Devices,1,0,0,0,1,0,,"virtual machines for cross browser testing as well a device emulators. Includes automation, and screen caps."
Sauce Labs,https://saucelabs.com/mobile,Freemium ($12 - $139/mo),Cloud based VM,200+ OS & Devices,1,0,1,0,1,0,,Another cloud based VM solution that is optimized to run Selenium & Appium tests
